,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,clusters
3482,1,56,4.0,17,0,0,58,2
3483,1,47,3.0,5,0,0,76,3
3484,1,30,3.0,5,0,0,85,3
3485,1,32,4.0,7,1,0,58,2
3486,1,29,3.0,5,1,0,57,2
3487,2,29,3.0,6,0,0,82,3
3488,1,30,3.0,4,0,0,78,3
3489,1,26,5.0,2,1,0,54,2
3490,2,26,3.5,1,0,0,47,1
3491,3,41,1.0,10,0,0,50,1
3492,1,43,2.0,3,0,0,52,1
3493,3,29,3.5,1,1,0,87,3
3494,1,37,4.0,4,0,0,61,2
3495,1,35,1.0,9,0,0,53,1
3496,1,27,3.0,2,0,0,82,3
3497,1,29,2.0,2,0,0,49,1
3498,1,38,3.0,4,0,0,49,2
3499,1,31,3.0,3,0,0,52,1
3500,1,36,5.0,2,0,0,51,1
3501,1,29,3.5,1,0,0,67,3
3502,1,53,2.0,3,1,0,50,1
3503,1,31,4.0,6,1,0,52,1
3504,1,40,1.0,3,0,0,47,1
3505,1,31,3.0,3,0,0,84,3
3506,2,32,5.0,10,1,1,99,3
3507,1,36,5.0,8,1,0,63,2
3508,1,46,4.0,17,0,0,52,1
3509,1,34,4.0,7,0,0,81,3
3510,1,58,2.0,19,0,0,70,3
3511,1,31,5.0,6,0,0,60,2
3512,2,35,3.0,3,0,0,60,2
3513,1,31,4.0,2,0,0,81,3
3514,1,29,5.0,1,1,0,55,2
3515,1,39,3.0,3,0,0,47,1
3516,1,44,3.0,5,1,0,81,3
3517,1,40,5.0,6,1,0,53,2
3518,2,28,3.0,2,0,0,85,3
3519,1,36,3.0,7,1,0,57,2
3520,1,33,5.0,4,1,0,71,3
3521,1,33,1.0,6,0,0,71,3
3522,2,29,5.0,3,1,0,57,2
3523,1,40,4.0,8,0,0,51,1
3524,1,33,1.0,7,0,0,50,1
3525,1,33,3.0,4,1,1,63,2
3526,1,49,1.0,10,0,0,44,1
3527,1,49,3.0,10,0,0,58,2
3528,1,33,1.0,7,0,0,78,3
3529,1,36,5.0,3,0,0,85,3
3530,1,29,3.0,2,0,0,69,3
3531,1,30,3.0,6,0,0,58,2
3532,3,28,1.0,2,0,0,48,1
3533,1,28,5.0,2,1,0,61,2
3534,1,28,1.0,7,0,0,73,3
3535,1,32,4.0,3,0,0,77,3
3536,1,30,5.0,4,0,0,44,1
3537,1,30,1.0,5,0,0,56,2
3538,1,37,4.0,7,1,0,49,1
3539,1,32,4.0,5,1,0,63,2
3540,1,33,3.0,6,0,0,80,3
3541,1,34,3.0,6,0,0,84,3
3542,1,40,2.0,11,1,0,59,2
3543,1,28,3.0,2,0,0,50,2
3544,1,44,3.0,13,0,0,74,3
3545,1,35,4.0,7,0,0,53,1
3546,1,33,2.0,8,1,0,58,2
3547,1,37,3.0,10,1,0,48,1
3548,1,28,3.0,4,1,0,80,3
3549,1,24,5.0,2,1,0,54,2
3550,1,27,5.0,2,1,0,80,3
3551,1,34,1.0,7,0,0,47,1
3552,1,40,4.0,10,0,0,86,3
3553,1,30,3.0,3,0,0,81,3
3554,1,30,5.0,5,1,0,82,3
3555,1,29,5.0,4,1,0,73,3
3556,1,28,3.0,1,0,0,54,1
3557,1,35,3.0,10,0,0,47,1
3558,1,34,5.0,3,0,0,82,3
3559,1,42,2.0,12,0,0,69,3
3560,3,35,5.0,9,0,0,69,3
3561,1,39,3.0,4,0,0,51,1
3562,1,34,1.0,7,0,0,52,2
3563,2,30,1.0,5,0,0,51,1
3564,1,28,3.5,1,0,0,52,1
3565,2,28,3.0,2,1,1,79,3
3566,1,54,4.0,5,1,0,62,2
3567,1,30,3.0,2,0,0,51,1
3568,1,25,4.0,2,1,0,82,3
3569,1,58,3.0,16,0,0,52,1
3570,1,49,1.0,16,0,0,50,1
3571,1,39,3.0,3,0,0,71,3
3572,1,44,2.0,13,0,0,67,3
3573,1,31,3.0,8,0,0,77,3
3574,1,42,3.0,6,0,0,70,3
3575,1,39,3.0,9,1,0,48,1
3576,1,30,4.0,2,1,0,76,3
3577,1,23,1.0,2,0,0,87,3
3578,1,34,2.0,6,0,0,77,3
3579,1,30,3.0,8,0,0,61,2
3580,1,28,3.0,5,0,0,80,3
3581,1,33,5.0,5,0,0,48,1
3582,1,30,2.0,5,0,0,84,3
3583,1,37,3.0,9,0,0,60,2
3584,1,37,4.0,10,1,0,56,2
3585,1,32,3.0,5,0,0,85,3
3586,4,28,3.5,1,0,0,54,2
3587,2,31,3.0,6,1,0,53,1
3588,3,32,5.0,7,0,0,61,2
3589,1,35,2.0,9,0,0,83,3
3590,4,41,3.0,13,0,0,50,1
3591,1,22,4.0,1,1,1,83,2
3592,1,48,2.0,18,0,0,72,3
3593,2,34,5.0,6,1,0,51,1
3594,1,29,5.0,5,0,0,52,1
3595,1,38,1.0,8,0,0,80,3
3596,1,36,3.0,9,0,0,66,3
3597,1,30,5.0,3,0,0,59,2
3598,1,44,3.0,3,1,0,73,3
3599,1,27,3.0,3,0,0,84,3
3600,2,50,5.0,9,1,0,58,2
3601,1,39,5.0,8,1,0,43,1
3602,1,42,5.0,15,1,0,61,2
3603,1,32,5.0,7,0,0,45,2
3604,1,39,4.0,2,0,0,52,1
3605,1,51,5.0,20,0,0,57,2
3606,1,49,5.0,20,1,0,69,3
3607,1,32,2.0,3,0,0,77,3
3608,1,29,1.0,4,0,0,66,3
3609,1,36,5.0,2,1,0,53,2
3610,3,35,4.0,7,0,0,79,3
3611,1,32,5.0,7,1,0,60,2
3612,4,33,1.0,5,1,0,50,1
3613,2,51,3.0,22,0,0,80,3
3614,1,26,3.5,1,0,0,72,3
3615,1,33,5.0,5,0,0,48,2
3616,1,29,5.0,5,1,0,96,2
3617,2,41,1.0,7,1,0,69,3
3618,1,31,1.0,4,0,0,48,1
3619,1,35,4.0,7,0,0,57,2
3620,1,34,5.0,5,1,0,72,3
3621,2,25,3.0,2,0,0,50,1
3622,1,29,3.0,2,0,0,73,3
3623,1,55,5.0,20,1,0,47,1
3624,1,35,5.0,5,1,0,74,3
3625,1,34,4.0,8,1,0,61,2
3626,1,38,2.0,4,1,0,63,2
3627,1,26,3.5,1,0,0,52,2
3628,1,60,1.0,17,0,0,70,3
3629,1,29,5.0,3,1,0,80,2
3630,1,29,3.0,3,0,0,88,3
3631,1,45,4.0,5,1,0,75,3
3632,2,43,5.0,4,1,0,86,3
3633,1,32,3.0,5,0,0,81,3
3634,1,28,5.0,4,1,0,83,3
3635,1,34,1.0,3,0,0,70,3
3636,1,35,4.0,5,0,0,86,3
3637,1,39,1.0,9,0,0,49,1
3638,1,30,5.0,4,0,0,51,2
3639,1,34,5.0,6,0,0,54,1
3640,1,32,2.0,3,0,0,52,1
3641,1,34,5.0,5,1,0,60,2
3642,2,35,3.0,4,0,0,50,1
3643,1,27,4.0,4,0,0,64,2
3644,2,41,3.0,12,1,0,57,2
3645,2,37,5.0,2,1,0,62,2
3646,1,30,1.0,2,0,0,51,1
3647,1,35,5.0,4,1,0,48,1
3648,1,32,4.0,7,0,0,52,1
3649,1,36,3.0,7,0,0,59,2
3650,1,41,3.0,7,0,0,70,3
3651,1,53,3.0,26,0,0,45,1
3652,1,26,3.0,4,0,0,58,2
3653,1,33,1.0,3,0,0,47,1
3654,1,25,3.5,1,0,0,64,2
3655,1,26,3.0,4,1,0,80,2
3656,1,33,1.0,3,1,0,49,1
3657,2,28,3.0,3,1,0,88,3
3658,3,51,5.0,8,1,0,55,2
3659,1,43,3.0,14,0,0,53,1
3660,1,44,3.0,2,1,0,83,3
3661,1,43,3.0,5,0,0,47,1
3662,1,44,3.0,2,1,0,60,2
3663,1,31,5.0,7,0,0,56,2
3664,3,37,5.0,5,1,0,60,2
3665,1,32,5.0,6,1,0,58,2
3666,1,32,2.0,3,0,0,49,1
3667,2,41,5.0,11,0,0,52,1
3668,2,53,3.0,10,1,0,63,2
3669,1,31,1.0,3,0,0,52,1
3670,1,53,4.0,12,1,0,69,3
3671,1,28,5.0,2,1,0,81,3
3672,1,36,5.0,4,1,0,58,2
3673,1,33,3.0,2,1,0,49,1
3674,1,31,3.0,5,1,1,96,3
3675,1,25,4.0,3,0,0,56,2
3676,2,29,3.0,2,0,0,82,3
3677,1,39,5.0,4,1,0,50,1
3678,3,33,1.0,7,0,0,49,1
3679,1,28,5.0,6,0,0,84,3
3680,1,40,5.0,11,0,0,47,1
3681,1,33,5.0,4,0,0,48,2
3682,1,32,3.0,7,0,0,50,1
3683,2,24,3.0,2,0,0,49,1
3684,2,44,1.0,4,0,0,48,1
3685,1,39,4.0,4,1,0,49,1
3686,1,40,1.0,4,0,0,50,1
3687,1,39,3.0,8,0,0,81,3
3688,3,43,5.0,15,1,0,59,2
3689,2,35,3.0,5,1,0,57,2
3690,1,36,4.0,9,0,0,66,2
3691,1,52,4.0,13,0,0,63,2
3692,1,34,5.0,6,1,0,53,2
3693,1,43,1.0,12,0,0,49,1
3694,1,27,2.0,5,0,0,50,1
3695,1,47,3.0,6,1,0,58,2
3696,1,29,2.0,3,0,0,80,3
3697,1,32,2.0,6,0,0,46,1
3698,1,37,3.0,5,0,0,60,2
3699,1,42,3.0,8,1,0,48,1
3700,1,28,3.5,1,1,0,80,3
3701,1,36,5.0,7,0,0,89,3
3702,1,30,5.0,2,1,0,57,2
3703,1,48,3.0,20,0,0,82,3
3704,1,37,1.0,9,0,0,49,1
3705,1,37,3.0,5,1,1,54,3
3706,3,39,4.0,4,1,0,78,3
3707,1,25,3.5,1,1,0,48,2
3708,1,28,3.0,4,0,0,52,2
3709,1,47,5.0,21,1,0,67,3
3710,1,28,5.0,5,0,0,51,1
3711,2,41,5.0,3,0,0,60,2
3712,2,28,4.0,4,0,0,67,2
3713,2,40,3.0,5,1,0,48,1
3714,1,37,5.0,13,0,0,90,3
3715,1,59,5.0,28,1,0,61,2
3716,1,39,2.0,10,0,0,51,1
3717,1,20,3.0,2,0,0,52,1
3718,1,34,2.0,8,1,0,59,2
3719,1,29,4.0,3,0,0,79,3
3720,2,29,5.0,3,1,0,86,2
3721,1,26,4.0,2,0,0,63,2
3722,1,31,3.5,1,0,0,57,2
3723,1,31,5.0,10,0,0,46,1
3724,1,40,3.0,9,0,0,68,3
3725,1,54,4.0,18,1,0,77,3
3726,1,34,2.0,10,0,0,47,1
3727,1,24,3.5,1,0,0,43,1
3728,1,34,1.0,6,0,0,63,2
3729,1,36,3.0,5,0,0,73,3
3730,1,27,3.0,1,1,0,57,2
3731,1,36,5.0,2,1,0,63,3
3732,1,42,3.0,3,0,0,58,2
3733,1,28,3.0,6,1,0,85,3
3734,1,30,5.0,6,0,0,68,3
3735,1,35,3.0,8,0,0,52,1
3736,1,29,3.5,1,0,0,51,1
3737,1,32,2.0,7,0,0,60,2
3738,1,36,3.0,7,0,0,56,2
3739,1,29,4.0,8,0,0,51,1
3740,1,34,1.0,2,0,0,49,1
3741,1,39,3.0,6,0,0,47,1
3742,3,24,1.0,3,0,0,72,3
3743,1,41,5.0,4,1,0,59,2
3744,1,36,1.0,3,0,0,48,1
3745,1,44,1.0,5,1,0,53,1
3746,2,50,3.0,7,0,0,80,3
3747,1,41,5.0,13,0,0,50,1
3748,2,31,4.0,7,0,0,63,2
3749,2,33,3.0,4,0,0,80,3
3750,1,32,3.5,1,1,0,78,3
3751,1,40,3.0,6,0,0,83,3
3752,1,30,3.0,4,0,0,61,2
3753,1,34,4.0,9,0,0,61,2
3754,1,39,2.0,10,0,0,52,1
3755,1,36,4.0,4,0,0,71,3
3756,1,30,3.5,1,0,0,49,2
3757,4,26,1.0,2,0,0,51,1
3758,3,28,3.0,7,0,0,85,3
3759,1,34,1.0,8,0,0,81,3
3760,1,30,5.0,4,0,0,60,2
3761,1,50,3.0,17,0,0,64,2
3762,1,40,5.0,11,1,0,64,3
3763,1,34,4.0,7,1,0,69,3
3764,2,38,5.0,8,1,0,51,1
3765,1,38,1.0,7,1,0,46,1
3766,1,37,3.0,9,1,0,91,1
3767,1,34,4.0,7,0,0,63,2
3768,1,35,1.0,3,0,0,68,3
3769,1,32,3.0,5,1,0,47,1
3770,1,31,3.0,3,0,0,74,2
3771,1,56,5.0,5,1,0,54,1
3772,1,36,4.0,7,0,0,59,2
3773,1,26,3.5,1,1,0,57,2
3774,2,53,5.0,11,1,0,48,1
3775,1,37,5.0,9,0,0,59,2
3776,1,27,2.0,2,1,0,46,1
3777,1,44,1.0,16,0,0,53,1
3778,1,29,4.0,2,1,0,57,2
3779,1,29,3.0,4,0,0,46,1
3780,1,32,3.0,7,0,0,78,3
3781,1,30,4.0,3,0,0,53,2
3782,2,30,5.0,6,1,0,59,2
3783,2,36,1.0,9,0,0,69,3
3784,2,34,3.0,10,0,0,46,1
3785,1,53,3.0,12,0,0,46,1
3786,1,34,5.0,8,1,0,61,2
3787,2,53,3.0,19,0,0,53,1
3788,1,27,5.0,3,1,0,59,2
3789,2,40,5.0,5,0,1,86,3
3790,1,41,3.0,6,0,0,48,1
3791,1,26,5.0,3,0,0,56,2
3792,1,28,1.0,5,0,0,52,1
3793,2,31,5.0,3,0,0,63,2
3794,1,24,5.0,2,1,0,50,2
3795,1,52,5.0,9,0,0,52,1
3796,1,35,5.0,7,1,0,47,2
3797,2,30,5.0,2,1,0,56,2
3798,1,36,5.0,4,1,0,50,1
3799,1,37,5.0,2,1,0,73,3
3800,1,29,3.5,1,1,0,69,3
3801,1,48,5.0,15,1,0,59,2
3802,1,41,4.0,2,0,0,47,1
3803,1,47,1.0,4,0,0,53,1
3804,1,24,3.5,1,0,0,61,2
3805,1,45,2.0,6,1,0,83,3
3806,1,42,1.0,8,0,0,79,3
3807,1,51,3.0,6,0,0,61,2
3808,1,33,4.0,2,1,0,72,3
3809,1,48,1.0,14,0,0,78,3
3810,1,27,3.0,3,1,0,49,1
3811,2,50,3.0,4,0,0,65,2
3812,1,41,1.0,4,0,0,47,1
3813,1,37,3.0,12,0,0,67,3
3814,1,26,3.0,3,0,0,75,3
3815,1,37,3.0,4,0,0,47,1
3816,1,40,4.0,3,1,0,47,2
3817,1,32,4.0,8,0,0,70,3
3818,1,43,3.0,15,0,0,60,2
3819,1,32,3.0,2,1,0,70,3
3820,1,26,5.0,3,1,0,61,2
3821,1,31,5.0,6,1,0,49,1
3822,3,36,3.0,10,0,0,66,3
3823,1,30,2.0,6,1,0,61,2
3824,2,31,1.0,5,0,0,68,3
3825,1,29,5.0,3,0,0,50,1
3826,2,41,3.0,2,1,1,65,3
3827,1,29,3.5,1,0,0,67,3
3828,2,35,3.0,3,1,0,69,3
3829,1,33,5.0,6,0,0,44,1
3830,2,24,3.5,1,0,0,82,3
3831,1,28,1.0,4,0,0,77,3
3832,1,43,1.0,4,0,0,58,2
3833,2,31,3.0,2,1,0,64,2
3834,1,24,3.0,2,0,0,50,1
3835,2,24,3.0,2,0,0,61,2
3836,2,35,3.0,3,0,0,51,2
3837,1,25,2.0,3,0,0,62,2
3838,1,26,1.0,2,0,0,60,2
3839,1,27,1.0,4,0,0,49,1
3840,2,35,3.0,4,1,0,76,3
3841,1,33,1.0,3,0,0,61,2
3842,1,28,3.5,1,0,0,50,1
3843,1,35,2.0,5,1,0,53,1
3844,1,39,2.0,5,0,0,71,3
3845,3,31,3.0,4,0,0,81,3
3846,1,46,4.0,6,0,0,51,1
3847,2,29,5.0,2,0,0,99,2
3848,1,41,4.0,5,1,0,49,1
3849,1,30,1.0,4,0,0,48,2
3850,2,42,5.0,12,1,0,82,3
3851,3,26,5.0,3,1,0,57,2
3852,2,49,2.0,4,0,0,67,3
3853,1,29,3.5,1,0,0,61,2
3854,1,31,1.0,2,1,0,92,3
3855,1,38,4.0,7,0,0,58,2
3856,1,43,3.0,2,0,0,47,1
3857,1,34,5.0,2,1,0,82,3
3858,2,27,4.0,3,1,0,63,2
3859,1,37,1.0,5,0,0,68,3
3860,1,39,3.0,12,0,0,58,2
3861,1,26,3.0,4,0,0,77,3
3862,1,37,5.0,7,1,0,84,3
3863,2,24,3.0,5,0,0,59,2
3864,2,31,3.0,4,0,0,62,2
3865,1,21,3.0,2,0,0,61,2
3866,2,27,3.0,3,0,0,48,1
3867,1,25,3.0,3,1,0,75,3
3868,1,31,3.0,7,0,0,46,1
3869,2,28,2.0,5,0,0,49,1
3870,1,27,3.0,4,0,0,46,2
3871,1,39,5.0,2,1,0,50,1
3872,1,28,3.0,2,0,0,50,1
3873,1,30,3.0,3,0,0,51,1
3874,2,35,2.0,4,0,0,54,1
3875,3,24,3.5,1,1,0,70,2
3876,1,30,3.0,4,0,0,72,3
3877,1,40,3.0,5,0,0,62,3
3878,1,38,5.0,3,1,0,74,3
3879,1,30,5.0,5,0,0,48,2
3880,1,33,5.0,4,1,0,71,3
3881,1,29,5.0,4,1,0,54,2
3882,2,23,3.0,2,0,0,68,2
3883,3,32,2.0,4,0,0,66,3
3884,1,46,1.0,6,0,0,48,1
3885,1,27,4.0,3,0,0,61,2
3886,1,26,3.5,1,1,0,90,3
3887,2,29,1.0,8,0,0,77,3
3888,1,36,4.0,9,1,0,46,1
3889,1,30,5.0,3,0,0,49,2
3890,1,33,3.0,5,0,0,54,2
3891,1,40,3.0,6,0,0,85,3
3892,1,32,3.5,1,0,0,64,2
3893,2,24,5.0,2,1,1,78,2
3894,1,35,4.0,10,0,0,54,1
3895,1,35,5.0,8,1,0,56,2
3896,1,27,4.0,5,1,0,48,1
3897,1,48,1.0,8,0,0,49,1
3898,1,30,3.5,1,1,0,46,1
3899,1,27,2.0,2,0,0,72,3
3900,1,53,3.0,16,0,0,89,3
3901,1,31,1.0,3,0,0,50,1
3902,1,34,3.0,6,0,0,64,2
3903,2,32,3.0,3,0,0,83,3
3904,1,31,3.0,2,0,0,81,3
3905,1,32,3.0,3,0,0,69,3
3906,1,44,2.0,12,1,0,47,2
3907,1,40,3.0,6,1,0,58,2
3908,1,35,1.0,6,0,0,73,3
3909,1,35,3.0,5,1,0,69,3
3910,2,28,5.0,2,1,0,56,2
3911,2,28,2.0,3,0,0,83,3
3912,1,23,3.5,1,1,0,61,2
3913,1,31,5.0,2,0,0,45,1
3914,1,29,3.0,2,0,0,69,3
3915,1,34,2.0,6,1,0,81,3
3916,4,28,3.5,1,0,0,85,3
3917,1,39,3.0,4,0,0,46,2
3918,1,21,3.5,1,0,0,48,1
3919,2,29,3.0,2,0,0,72,3
3920,2,21,3.5,1,1,0,52,1
3921,2,40,3.0,3,0,0,67,2
3922,1,31,5.0,5,1,0,48,1
3923,3,26,3.0,2,0,0,64,2
3924,1,24,5.0,2,0,0,69,2
3925,1,33,5.0,9,1,0,47,1
3926,1,31,5.0,7,1,0,47,1
3927,1,33,4.0,5,0,0,85,3
3928,1,29,3.0,2,0,0,59,2
3929,2,26,4.0,3,1,0,49,1
3930,3,39,3.0,8,0,0,51,2
3931,1,28,3.0,2,0,0,84,3
3932,1,23,4.0,2,0,0,58,2
3933,1,48,4.0,17,0,0,59,2
3934,1,36,3.0,7,0,0,59,2
3935,1,31,3.0,7,1,0,49,1
3936,2,36,5.0,2,1,1,84,3
3937,1,27,3.0,6,0,0,75,3
3938,1,38,3.0,4,0,0,44,1
3939,1,29,3.5,1,1,0,48,1
3940,1,28,5.0,4,0,0,51,2
3941,1,37,5.0,9,0,0,53,1
3942,2,37,4.0,5,1,0,57,2
3943,2,30,3.0,7,0,0,50,1
3944,1,29,3.0,5,0,0,75,3
3945,1,20,3.0,2,1,0,82,3
3946,1,35,3.0,6,1,0,80,3
3947,1,29,5.0,3,1,0,59,2
3948,1,31,4.0,7,1,0,81,3
3949,1,33,4.0,4,0,0,78,3
3950,1,23,5.0,2,1,0,48,1
3951,1,33,5.0,4,0,0,61,1
3952,1,43,3.0,7,1,0,71,3
3953,1,31,3.0,5,0,0,85,3
3954,1,32,5.0,5,1,1,98,3
3955,2,32,2.0,2,0,0,47,2
3956,1,38,4.0,10,1,0,71,3
3957,1,30,3.5,1,0,0,83,3
3958,1,28,5.0,2,1,0,85,3
3959,2,42,1.0,3,0,0,46,1
3960,2,36,3.0,3,0,0,60,2
3961,1,42,2.0,6,1,0,54,1
3962,1,25,3.5,1,1,0,81,2
3963,2,28,3.0,4,0,0,86,3
3964,3,30,4.0,4,0,0,83,3
3965,1,27,3.0,5,1,0,60,2
3966,1,23,3.5,1,0,0,80,3
3967,1,26,5.0,3,0,0,46,1
3968,2,29,3.0,3,0,0,54,1
3969,1,34,4.0,9,0,0,51,1
3970,1,28,3.0,5,1,0,78,3
3971,1,40,2.0,2,1,0,84,3
3972,1,27,1.0,4,0,0,55,2
3973,1,41,3.0,7,0,1,99,3
3974,1,24,5.0,2,1,0,58,2
3975,1,39,4.0,5,0,0,60,2
3976,2,29,4.0,1,1,0,48,1
3977,1,38,3.0,9,0,0,69,2
3978,1,32,5.0,4,1,0,49,1
3979,2,41,5.0,3,1,1,92,3
3980,1,33,2.0,2,1,0,53,1
3981,1,38,4.0,4,0,0,50,2
3982,1,41,5.0,10,1,0,74,3
3983,1,33,5.0,8,1,0,68,3
3984,1,33,4.0,2,0,0,61,2
3985,1,35,3.0,6,0,0,71,3
3986,1,28,5.0,2,1,0,50,1
3987,1,36,3.0,3,0,0,76,3
3988,1,39,5.0,2,1,0,46,1
3989,1,33,5.0,4,1,0,58,2
3990,1,32,1.0,5,0,0,59,2
3991,2,36,3.0,4,0,0,60,2
3992,2,33,3.0,2,0,0,58,2
3993,1,29,3.0,5,1,0,49,1
3994,1,34,3.0,10,1,0,49,1
3995,1,43,3.0,4,0,0,72,2
3996,1,38,5.0,4,1,0,82,3
3997,1,21,5.0,2,1,0,49,2
3998,1,26,5.0,2,1,0,47,1
3999,1,30,1.0,5,0,0,54,1
4000,1,37,4.0,2,0,0,53,2
4001,1,39,3.0,4,1,0,77,3
4002,1,49,3.0,9,0,0,60,2
4003,1,27,3.0,1,1,0,47,2
4004,1,31,3.0,6,1,0,47,2
4005,1,30,5.0,5,1,0,60,2
4006,1,25,3.5,1,0,0,58,2
4007,1,24,3.0,1,0,0,77,2
4008,1,33,5.0,3,1,0,51,1
4009,3,30,1.0,4,0,0,73,3
4010,2,28,3.0,3,1,0,60,2
4011,1,56,3.0,7,0,0,79,3
4012,1,30,4.0,3,0,0,49,1
4013,1,35,5.0,5,0,0,60,2
4014,1,50,5.0,18,1,0,53,1
4015,1,34,3.0,6,0,0,55,2
4016,1,35,2.0,7,1,0,45,1
4017,3,28,3.0,3,1,0,70,3
4018,1,28,5.0,6,1,0,49,1
4019,2,42,3.0,4,0,0,62,2
4020,1,40,5.0,11,1,0,60,2
4021,1,26,5.0,2,1,0,50,1
4022,1,37,4.0,5,1,0,58,2
4023,2,30,5.0,2,1,0,80,3
4024,8,43,4.0,2,1,0,71,3
4025,1,42,1.0,11,0,0,51,1
4026,1,32,5.0,8,1,0,58,2
4027,1,36,1.0,7,0,0,46,1
4028,1,37,3.0,9,0,0,58,2
4029,1,39,4.0,4,1,0,50,1
4030,2,34,3.0,6,0,0,76,3
4031,1,37,3.0,7,1,0,59,2
4032,1,26,1.0,4,0,0,88,3
4033,2,25,3.5,1,0,0,61,2
4034,2,25,3.0,1,0,0,71,3
4035,1,60,5.0,15,1,0,47,2
4036,1,38,4.0,2,0,0,48,1
4037,1,55,3.0,28,0,0,83,3
4038,1,33,3.0,6,0,0,70,3
4039,1,26,5.0,2,1,0,49,2
4040,1,30,1.0,4,0,0,82,3
4041,1,29,4.0,3,0,0,63,2
4042,2,31,1.0,5,0,0,68,3
4043,1,33,3.0,6,0,0,78,3
4044,2,27,3.0,2,0,0,65,3
4045,1,38,3.0,7,0,0,60,2
4046,6,42,4.0,12,0,0,66,3
4047,1,32,4.0,5,1,0,53,2
4048,1,50,4.0,4,0,0,63,2
4049,1,29,1.0,5,0,0,47,1
4050,1,51,5.0,22,1,0,96,3
4051,1,38,5.0,4,1,0,48,1
4052,1,29,4.0,6,0,0,72,3
4053,1,33,4.0,8,1,0,79,3
4054,1,47,2.0,3,1,0,62,2
4055,1,29,3.0,4,1,0,48,1
4056,1,39,4.0,4,1,0,76,3
4057,1,33,3.0,4,0,0,77,3
4058,1,33,1.0,6,0,0,65,3
4059,1,31,2.0,8,1,0,61,2
4060,1,33,3.0,5,0,0,47,1
4061,1,33,4.0,6,1,0,83,3
4062,1,29,3.0,2,0,0,52,1
4063,1,28,2.0,2,0,0,47,1
4064,1,34,1.0,4,0,0,50,1
4065,1,34,1.0,7,0,0,50,1
4066,1,55,3.0,6,1,0,77,3
4067,1,25,3.5,1,0,0,67,2
4068,2,26,3.0,2,0,0,48,1
4069,1,42,1.0,8,0,0,48,1
4070,1,37,3.0,8,0,0,47,2
4071,2,38,4.0,2,1,0,59,2
4072,1,31,4.0,5,0,0,62,2
4073,1,44,2.0,7,0,0,79,3
4074,1,43,2.0,14,0,0,50,1
4075,1,40,2.0,10,0,0,51,1
4076,2,31,4.0,5,1,0,61,2
4077,1,31,3.0,6,0,0,88,3
4078,2,29,4.0,7,0,0,61,2
4079,1,36,5.0,8,1,0,47,1
4080,1,47,1.0,3,0,0,78,3
4081,1,39,3.0,5,1,0,60,2
4082,1,23,3.0,2,0,0,49,1
4083,1,27,3.0,4,1,0,49,1
4084,1,48,4.0,9,0,0,56,2
4085,1,39,3.0,10,0,0,83,3
4086,1,34,5.0,5,0,0,51,1
4087,1,37,3.0,7,1,0,63,2
4088,1,31,1.0,5,0,0,84,3
4089,1,29,4.0,5,1,0,87,3
4090,1,26,3.0,2,0,0,79,3
4091,1,29,3.0,3,1,0,78,3
4092,2,31,3.0,4,0,0,51,1
4093,1,25,4.0,3,0,0,55,2
4094,2,32,1.0,2,1,0,54,1
4095,1,32,3.0,3,0,0,41,1
4096,1,31,5.0,9,1,0,45,2
4097,2,29,2.0,5,0,0,74,3
4098,1,25,3.0,2,0,0,44,2
4099,2,30,3.5,1,0,0,47,1
4100,2,34,5.0,4,1,0,54,1
4101,1,24,2.0,2,0,0,62,2
4102,1,32,3.0,5,0,0,83,3
4103,1,25,4.0,2,0,0,81,3
4104,1,29,5.0,4,1,0,46,2
4105,3,49,3.0,3,0,0,80,3
4106,2,39,1.0,8,0,0,65,2
4107,3,34,1.0,9,0,0,46,1
4108,1,45,5.0,7,1,0,49,2
4109,1,34,4.0,3,0,0,80,3
4110,1,31,3.0,3,0,0,80,3
4111,1,32,3.0,7,0,0,62,2
4112,1,29,5.0,2,1,0,80,3
4113,2,37,3.0,5,0,0,77,3
4114,8,26,5.0,3,0,0,71,3
4115,1,30,3.0,2,0,0,46,1
4116,1,39,3.0,10,0,0,50,1
4117,1,32,3.0,6,0,0,83,3
4118,1,40,3.0,5,0,0,50,1
4119,1,36,3.0,8,0,0,80,3
4120,1,38,4.0,4,1,0,51,1
4121,4,28,3.0,2,1,1,92,3
4122,1,30,3.0,7,0,0,58,2
4123,1,26,3.0,5,1,0,50,1
4124,1,26,5.0,5,1,0,63,2
4125,1,28,4.0,4,1,1,50,3
4126,1,32,3.0,5,0,0,85,3
4127,1,34,3.0,9,0,0,63,3
4128,1,26,5.0,4,1,0,44,1
4129,1,33,1.0,10,1,0,68,3
4130,1,49,3.0,3,1,0,51,2
4131,1,31,5.0,4,1,0,45,1
4132,2,31,3.0,4,1,0,50,1
4133,1,27,3.0,2,1,0,64,2
4134,1,35,4.0,3,0,0,80,3
4135,1,25,3.5,1,1,0,61,2
4136,1,27,5.0,1,1,0,79,3
4137,1,47,3.0,6,0,0,69,3
4138,1,50,4.0,17,1,0,79,3
4139,1,54,3.0,10,1,0,94,3
4140,1,48,4.0,4,0,0,72,3
4141,1,28,3.0,2,1,0,57,2
4142,1,56,5.0,15,0,0,47,2
4143,1,48,5.0,17,0,0,92,3
4144,2,29,3.0,2,0,0,57,2
4145,1,20,3.0,2,1,0,70,2
